time,seconds_elapsed,latitude,longitude,altitude,speed,horizontalAccuracy
1789984836000000000,36,42.00056841,-71.99889946,110,5.018,4.97
1789984837000000000,37,42.00057197,-71.99896128,110,5.124,4.96
1789984838000000000,38,42.00057526,-71.99902426,110,5.217,4.95
1789984839000000000,39,42.00057829,-71.99908819,110,5.294,4.93
1789984840000000000,40,42.00058107,-71.99915289,110,5.356,4.91
1789984841000000000,41,42.00058362,-71.99921817,110,5.402,4.89
1789984842000000000,42,42.00058596,-71.99928385,110,5.433,4.86
1789984843000000000,43,42.00058808,-71.99934972,110,5.449,4.84
1789984844000000000,44,42.00059002,-71.99941561,110,5.449,4.81
1789984845000000000,45,42.00059177,-71.99948132,110,5.434,4.78
1789984846000000000,46,42.00059335,-71.99954668,110,5.404,4.75
1789984847000000000,47,42.00059477,-71.99961150,110,5.359,4.71
1789984848000000000,48,42.00059605,-71.99967563,110,5.301,4.68
1789984849000000000,49,42.00059718,-71.99973888,110,5.228,4.64
1789984850000000000,50,42.00059819,-71.99980110,110,5.143,4.60
1789984851000000000,51,42.00059907,-71.99986215,110,5.046,4.56
1789984852000000000,52,42.00059984,-71.99992188,110,4.937,4.52
1789984853000000000,53,42.00060050,-71.99998016,110,4.817,4.47
1789984854000000000,54,42.00060106,-72.00003688,110,4.687,4.43
1789984855000000000,55,42.00060152,-72.00009191,110,4.548,4.38
1789984856000000000,56,42.00060189,-72.00014517,110,4.401,4.33
1789984857000000000,57,42.00060218,-72.00019655,110,4.247,4.29
1789984858000000000,58,42.00060238,-72.00024600,110,4.086,4.24
1789984859000000000,59,42.00060250,-72.00029345,110,3.921,4.19
1789984860000000000,60,42.00060255,-72.00033884,110,3.751,4.14
1789984861000000000,61,42.00060250,-72.00038215,110,3.578,4.09
1789984862000000000,62,42.00060238,-72.00042334,110,3.404,4.04
1789984863000000000,63,42.00060218,-72.00046241,110,3.228,3.99
1789984864000000000,64,42.00060189,-72.00049935,110,3.053,3.94
1789984865000000000,65,42.00060152,-72.00053419,110,2.879,3.89
1789984866000000000,66,42.00060106,-72.00056695,110,2.707,3.84
1789984867000000000,67,42.00060050,-72.00059766,110,2.539,3.79
1789984868000000000,68,42.00059984,-72.00062638,110,2.374,3.74
1789984869000000000,69,42.00059907,-72.00065317,110,2.215,3.70
1789984870000000000,70,42.00059819,-72.00067809,110,2.062,3.65
1789984871000000000,71,42.00059718,-72.00070125,110,1.916,3.60
1789984872000000000,72,42.00059605,-72.00072271,110,1.778,3.56
1789984873000000000,73,42.00059477,-72.00074259,110,1.649,3.51
1789984874000000000,74,42.00059335,-72.00076099,110,1.529,3.47
1789984875000000000,75,42.00059177,-72.00077802,110,1.419,3.43
1789984876000000000,76,42.00059002,-72.00079381,110,1.319,3.39
1789984877000000000,77,42.00058808,-72.00080848,110,1.231,3.35
1789984878000000000,78,42.00058596,-72.00082217,110,1.155,3.31
1789984879000000000,79,42.00058362,-72.00083500,110,1.092,3.28
1789984880000000000,80,42.00058107,-72.00084711,110,1.040,3.24
1789984881000000000,81,42.00057829,-72.00085864,110,1.002,3.21
1789984882000000000,82,42.00057526,-72.00086973,110,0.976,3.18
1789984883000000000,83,42.00057197,-72.00088051,110,0.963,3.15
1789984884000000000,84,42.00056841,-72.00089113,110,0.962,3.13
1789984885000000000,85,42.00056456,-72.00090170,110,0.973,3.11
1789984886000000000,86,42.00056041,-72.00091237,110,0.995,3.08
1789984887000000000,87,42.00055595,-72.00092326,110,1.027,3.06
1789984888000000000,88,42.00055116,-72.00093449,110,1.070,3.05
1789984889000000000,89,42.00054602,-72.00094616,110,1.121,3.03
1789984890000000000,90,42.00054053,-72.00095839,110,1.181,3.02
1789984891000000000,91,42.00053467,-72.00097128,110,1.249,3.01
1789984892000000000,92,42.00052842,-72.00098492,110,1.324,3.01
1789984893000000000,93,42.00052178,-72.00099938,110,1.405,3.00
1789984894000000000,94,42.00051472,-72.00101474,110,1.492,3.00
1789984895000000000,95,42.00050725,-72.00103106,110,1.584,3.00
1789984896000000000,96,42.00049934,-72.00104839,110,1.680,3.00
1789984897000000000,97,42.00049099,-72.00106677,110,1.780,3.01
1789984898000000000,98,42.00048218,-72.00108622,110,1.882,3.02
1789984899000000000,99,42.00047290,-72.00110676,110,1.986,3.03
1789984900000000000,100,42.00046315,-72.00112839,110,2.091,3.04
1789984901000000000,101,42.00045292,-72.00115111,110,2.195,3.06
1789984902000000000,102,42.00044219,-72.00117489,110,2.299,3.07
1789984903000000000,103,42.00043097,-72.00119969,110,2.400,3.09
1789984904000000000,104,42.00041924,-72.00122549,110,2.499,3.12
1789984905000000000,105,42.00040700,-72.00125220,110,2.594,3.14
1789984906000000000,106,42.00039424,-72.00127978,110,2.684,3.17
1789984907000000000,107,42.00038097,-72.00130813,110,2.769,3.20
1789984908000000000,108,42.00036718,-72.00133717,110,2.848,3.23
1789984909000000000,109,42.00035287,-72.00136679,110,2.920,3.26
1789984910000000000,110,42.00033804,-72.00139689,110,2.984,3.29
1789984911000000000,111,42.00032269,-72.00142735,110,3.041,3.33
1789984912000000000,112,42.00030682,-72.00145803,110,3.089,3.37
1789984913000000000,113,42.00029043,-72.00148880,110,3.128,3.41
1789984914000000000,114,42.00027354,-72.00151953,110,3.158,3.45
1789984915000000000,115,42.00025614,-72.00155005,110,3.179,3.49
1789984916000000000,116,42.00023824,-72.00158023,110,3.190,3.54
1789984917000000000,117,42.00021986,-72.00160989,110,3.192,3.58
1789984918000000000,118,42.00020100,-72.00163889,110,3.184,3.63
1789984919000000000,119,42.00018167,-72.00166705,110,3.168,3.67
1789984920000000000,120,42.00016188,-72.00169422,110,3.143,3.72
1789984921000000000,121,42.00014165,-72.00172022,110,3.111,3.77
1789984922000000000,122,42.00012098,-72.00174490,110,3.072,3.82
1789984923000000000,123,42.00009991,-72.00176810,110,3.027,3.87
1789984924000000000,124,42.00007844,-72.00178965,110,2.979,3.92
1789984925000000000,125,42.00005658,-72.00180939,110,2.927,3.97
1789984926000000000,126,42.00003437,-72.00182719,110,2.875,4.02
1789984927000000000,127,42.00001182,-72.00184289,110,2.823,4.07
1789984928000000000,128,41.99998895,-72.00185636,110,2.776,4.12
1789984929000000000,129,41.99996578,-72.00186747,110,2.735,4.17
1789984930000000000,130,41.99994234,-72.00187609,110,2.702,4.22
1789984931000000000,131,41.99991865,-72.00188211,110,2.681,4.26
1789984932000000000,132,41.99989474,-72.00188543,110,2.673,4.31
1789984933000000000,133,41.99987063,-72.00188595,110,2.681,4.36
1789984934000000000,134,41.99984635,-72.00188360,110,2.707,4.40
1789984935000000000,135,41.99982193,-72.00187830,110,2.751,4.45
1789984936000000000,136,41.99979740,-72.00187000,110,2.813,4.49
1789984937000000000,137,41.99977278,-72.00185866,110,2.894,4.54
1789984938000000000,138,41.99974811,-72.00184423,110,2.991,4.58
1789984939000000000,139,41.99972341,-72.00182671,110,3.104,4.62
1789984940000000000,140,41.99969873,-72.00180608,110,3.231,4.66
1789984941000000000,141,41.99967408,-72.00178236,110,3.369,4.69
1789984942000000000,142,41.99964951,-72.00175556,110,3.517,4.73
1789984943000000000,143,41.99962504,-72.00172573,110,3.671,4.76
1789984944000000000,144,41.99960071,-72.00169291,110,3.831,4.79
1789984945000000000,145,41.99957655,-72.00165716,110,3.993,4.82
1789984946000000000,146,41.99955259,-72.00161857,110,4.156,4.85
1789984947000000000,147,41.99952887,-72.00157721,110,4.317,4.88
1789984948000000000,148,41.99950542,-72.00153318,110,4.476,4.90
1789984949000000000,149,41.99948228,-72.00148660,110,4.630,4.92
1789984950000000000,150,41.99945947,-72.00143759,110,4.778,4.94
1789984951000000000,151,41.99943704,-72.00138628,110,4.919,4.95
1789984952000000000,152,41.99941500,-72.00133282,110,5.052,4.97
1789984953000000000,153,41.99939341,-72.00127735,110,5.175,4.98
1789984954000000000,154,41.99937228,-72.00122004,110,5.287,4.99
1789984955000000000,155,41.99935165,-72.00116104,110,5.388,4.99
1789984956000000000,156,41.99933155,-72.00110054,110,5.476,5.00
1789984957000000000,157,41.99931201,-72.00103872,110,5.552,5.00
1789984958000000000,158,41.99929306,-72.00097574,110,5.614,5.00
1789984959000000000,159,41.99927473,-72.00091181,110,5.662,5.00
1789984960000000000,160,41.99925705,-72.00084711,110,5.697,4.99
1789984961000000000,161,41.99924005,-72.00078183,110,5.716,4.98
1789984962000000000,162,41.99922374,-72.00071615,110,5.722,4.97
1789984963000000000,163,41.99920817,-72.00065028,110,5.712,4.96
1789984964000000000,164,41.99919335,-72.00058439,110,5.688,4.94
1789984965000000000,165,41.99917930,-72.00051868,110,5.650,4.92
1789984966000000000,166,41.99916605,-72.00045332,110,5.598,4.90
1789984967000000000,167,41.99915362,-72.00038850,110,5.532,4.88
1789984968000000000,168,41.99914203,-72.00032437,110,5.453,4.85
1789984969000000000,169,41.99913129,-72.00026112,110,5.361,4.83
1789984970000000000,170,41.99912143,-72.00019890,110,5.258,4.80
1789984971000000000,171,41.99911246,-72.00013785,110,5.142,4.77
1789984972000000000,172,41.99910440,-72.00007812,110,5.017,4.73
1789984973000000000,173,41.99909725,-72.00001984,110,4.881,4.70
1789984974000000000,174,41.99909103,-71.99996312,110,4.737,4.66
1789984975000000000,175,41.99908575,-71.99990809,110,4.585,4.62
1789984976000000000,176,41.99908142,-71.99985483,110,4.427,4.58
1789984977000000000,177,41.99907805,-71.99980345,110,4.263,4.54
1789984978000000000,178,41.99907563,-71.99975400,110,4.095,4.50
1789984979000000000,179,41.99907418,-71.99970655,110,3.924,4.46
1789984980000000000,180,41.99907370,-71.99966116,110,3.751,4.41
1789984981000000000,181,41.99907418,-71.99961785,110,3.579,4.37
1789984982000000000,182,41.99907563,-71.99957666,110,3.408,4.32
1789984983000000000,183,41.99907805,-71.99953759,110,3.239,4.27
1789984984000000000,184,41.99908142,-71.99950065,110,3.076,4.22
1789984985000000000,185,41.99908575,-71.99946581,110,2.919,4.17
1789984986000000000,186,41.99909103,-71.99943305,110,2.770,4.12
1789984987000000000,187,41.99909725,-71.99940234,110,2.630,4.07
1789984988000000000,188,41.99910440,-71.99937362,110,2.503,4.02
1789984989000000000,189,41.99911246,-71.99934683,110,2.388,3.97
1789984990000000000,190,41.99912143,-71.99932191,110,2.289,3.92
1789984991000000000,191,41.99913129,-71.99929875,110,2.205,3.88
1789984992000000000,192,41.99914203,-71.99927729,110,2.138,3.83
1789984993000000000,193,41.99915362,-71.99925741,110,2.088,3.78
1789984994000000000,194,41.99916605,-71.99923901,110,2.055,3.73
1789984995000000000,195,41.99917930,-71.99922198,110,2.038,3.68
1789984996000000000,196,41.99919335,-71.99920619,110,2.035,3.63
1789984997000000000,197,41.99920817,-71.99919152,110,2.046,3.59
1789984998000000000,198,41.99922374,-71.99917783,110,2.068,3.54
1789984999000000000,199,41.99924005,-71.99916500,110,2.100,3.50
1789985000000000000,200,41.99925705,-71.99915289,110,2.139,3.46
1789985001000000000,201,41.99927473,-71.99914136,110,2.185,3.41
1789985002000000000,202,41.99929306,-71.99913027,110,2.235,3.37
1789985003000000000,203,41.99931201,-71.99911949,110,2.288,3.34
1789985004000000000,204,41.99933155,-71.99910887,110,2.343,3.30
1789985005000000000,205,41.99935165,-71.99909830,110,2.400,3.27
1789985006000000000,206,41.99937228,-71.99908763,110,2.458,3.23
1789985007000000000,207,41.99939341,-71.99907674,110,2.516,3.20
1789985008000000000,208,41.99941500,-71.99906551,110,2.574,3.17
1789985009000000000,209,41.99943704,-71.99905384,110,2.633,3.15
1789985010000000000,210,41.99945947,-71.99904161,110,2.692,3.12
1789985011000000000,211,41.99948228,-71.99902872,110,2.751,3.10
1789985012000000000,212,41.99950542,-71.99901508,110,2.809,3.08
1789985013000000000,213,41.99952887,-71.99900062,110,2.868,3.06
1789985014000000000,214,41.99955259,-71.99898526,110,2.927,3.04
1789985015000000000,215,41.99957655,-71.99896894,110,2.986,3.03
1789985016000000000,216,41.99960071,-71.99895161,110,3.044,3.02
1789985017000000000,217,41.99962504,-71.99893323,110,3.103,3.01
1789985018000000000,218,41.99964951,-71.99891378,110,3.160,3.00
1789985019000000000,219,41.99967408,-71.99889324,110,3.217,3.00
1789985020000000000,220,41.99969873,-71.99887161,110,3.272,3.00
1789985021000000000,221,41.99972341,-71.99884889,110,3.325,3.00
1789985022000000000,222,41.99974811,-71.99882511,110,3.377,3.01
1789985023000000000,223,41.99977278,-71.99880031,110,3.425,3.01
1789985024000000000,224,41.99979740,-71.99877451,110,3.469,3.02
1789985025000000000,225,41.99982193,-71.99874780,110,3.509,3.03
1789985026000000000,226,41.99984635,-71.99872022,110,3.545,3.05
1789985027000000000,227,41.99987063,-71.99869187,110,3.575,3.06
1789985028000000000,228,41.99989474,-71.99866283,110,3.598,3.08
1789985029000000000,229,41.99991865,-71.99863321,110,3.614,3.10
1789985030000000000,230,41.99994234,-71.99860311,110,3.623,3.12
1789985031000000000,231,41.99996578,-71.99857265,110,3.623,3.15
1789985032000000000,232,41.99998895,-71.99854197,110,3.614,3.18
1789985033000000000,233,42.00001182,-71.99851120,110,3.596,3.21
1789985034000000000,234,42.00003437,-71.99848047,110,3.569,3.24
1789985035000000000,235,42.00005658,-71.99844995,110,3.530,3.27
1789985036000000000,236,42.00007844,-71.99841977,110,3.482,3.31
1789985037000000000,237,42.00009991,-71.99839011,110,3.422,3.34
1789985038000000000,238,42.00012098,-71.99836111,110,3.352,3.38
1789985039000000000,239,42.00014165,-71.99833295,110,3.270,3.42
1789985040000000000,240,42.00016188,-71.99830578,110,3.178,3.46
